SLEIGH
PresentSize: 10000
Score: 0
PRESENTS
id,a,b,c,locked,rotation,previousAllocation,calculatedX,calculatedY,calculatedZ
1,2,5,3,false,null,0,0,0,0
2,243,207,73,false,null,1,0,0,0
3,236,78,160,false,null,2,0,0,0
4,10,8,3,false,null,3,0,0,0
5,9,9,10,false,null,4,0,0,0
6,170,120,171,false,null,5,0,0,0
7,218,116,91,false,null,6,0,0,0
8,142,206,222,false,null,7,0,0,0
9,37,8,28,false,null,8,0,0,0
10,3,2,7,false,null,9,0,0,0
11,42,41,22,false,null,10,0,0,0
12,11,42,31,false,null,11,0,0,0
13,28,20,83,false,null,12,0,0,0
14,29,13,76,false,null,13,0,0,0
15,98,200,96,false,null,14,0,0,0
16,26,38,4,false,null,15,0,0,0
17,9,34,36,false,null,16,0,0,0
18,3,4,4,false,null,17,0,0,0
19,78,84,240,false,null,18,0,0,0
20,114,219,233,false,null,19,0,0,0
21,35,28,22,false,null,20,0,0,0
22,185,211,195,false,null,21,0,0,0
23,7,3,2,false,null,22,0,0,0
24,37,9,31,false,null,23,0,0,0
25,144,104,101,false,null,24,0,0,0
26,56,31,32,false,null,25,0,0,0
27,142,209,188,false,null,26,0,0,0
28,45,18,93,false,null,27,0,0,0
29,8,9,2,false,null,28,0,0,0
30,13,10,57,false,null,29,0,0,0
31,22,54,49,false,null,30,0,0,0
32,72,172,190,false,null,31,0,0,0
33,17,28,36,false,null,32,0,0,0
34,121,90,87,false,null,33,0,0,0
35,5,39,33,false,null,34,0,0,0
36,32,34,23,false,null,35,0,0,0
37,14,33,16,false,null,36,0,0,0
38,18,42,96,false,null,37,0,0,0
39,8,55,32,false,null,38,0,0,0
40,10,5,7,false,null,39,0,0,0
41,6,6,9,false,null,40,0,0,0
42,203,201,69,false,null,41,0,0,0
43,20,53,11,false,null,42,0,0,0
44,32,18,30,false,null,43,0,0,0
45,120,211,234,false,null,44,0,0,0
46,246,97,206,false,null,45,0,0,0
47,5,2,3,false,null,46,0,0,0
48,124,151,92,false,null,47,0,0,0
49,43,48,69,false,null,48,0,0,0
50,2,2,7,false,null,49,0,0,0
51,231,173,103,false,null,50,0,0,0
52,12,26,88,false,null,51,0,0,0
53,8,10,7,false,null,52,0,0,0
54,10,8,8,false,null,53,0,0,0
55,57,64,33,false,null,54,0,0,0
56,37,21,20,false,null,55,0,0,0
57,15,24,33,false,null,56,0,0,0
58,36,26,12,false,null,57,0,0,0
59,44,24,64,false,null,58,0,0,0
60,8,36,30,false,null,59,0,0,0
61,43,26,83,false,null,60,0,0,0
62,23,23,70,false,null,61,0,0,0
63,9,4,10,false,null,62,0,0,0
64,13,16,36,false,null,63,0,0,0
65,29,59,58,false,null,64,0,0,0
66,133,125,214,false,null,65,0,0,0
67,2,9,5,false,null,66,0,0,0
68,117,197,231,false,null,67,0,0,0
69,39,10,74,false,null,68,0,0,0
70,31,11,37,false,null,69,0,0,0
71,41,18,80,false,null,70,0,0,0
72,6,3,6,false,null,71,0,0,0
73,41,31,8,false,null,72,0,0,0
74,61,40,32,false,null,73,0,0,0
75,41,63,39,false,null,74,0,0,0
76,30,49,36,false,null,75,0,0,0
77,2,4,2,false,null,76,0,0,0
78,24,25,45,false,null,77,0,0,0
79,6,6,2,false,null,78,0,0,0
80,2,3,5,false,null,79,0,0,0
81,8,2,2,false,null,80,0,0,0
82,247,70,85,false,null,81,0,0,0
83,52,25,37,false,null,82,0,0,0
84,20,24,100,false,null,83,0,0,0
85,60,26,63,false,null,84,0,0,0
86,37,14,29,false,null,85,0,0,0
87,30,49,58,false,null,86,0,0,0
88,181,75,153,false,null,87,0,0,0
89,6,8,3,false,null,88,0,0,0
90,3,7,9,false,null,89,0,0,0
91,162,185,229,false,null,90,0,0,0
92,7,2,4,false,null,91,0,0,0
93,6,10,5,false,null,92,0,0,0
94,176,199,99,false,null,93,0,0,0
95,4,2,9,false,null,94,0,0,0
96,219,246,154,false,null,95,0,0,0
97,22,24,52,false,null,96,0,0,0
98,148,161,87,false,null,97,0,0,0
99,32,7,55,false,null,98,0,0,0
100,250,143,98,false,null,99,0,0,0
101,37,23,13,false,null,100,0,0,0
102,156,65,150,false,null,101,0,0,0
103,5,8,2,false,null,102,0,0,0
104,41,70,53,false,null,103,0,0,0
105,12,42,25,false,null,104,0,0,0
106,6,43,36,false,null,105,0,0,0
107,24,10,21,false,null,106,0,0,0
108,226,79,211,false,null,107,0,0,0
109,183,243,130,false,null,108,0,0,0
110,3,6,7,false,null,109,0,0,0
111,28,51,36,false,null,110,0,0,0
112,16,35,32,false,null,111,0,0,0
113,21,52,15,false,null,112,0,0,0
114,27,26,76,false,null,113,0,0,0
115,14,51,39,false,null,114,0,0,0
116,45,36,7,false,null,115,0,0,0
117,65,57,17,false,null,116,0,0,0
118,90,235,214,false,null,117,0,0,0
119,5,36,38,false,null,118,0,0,0
120,16,27,62,false,null,119,0,0,0
121,15,67,52,false,null,120,0,0,0
122,9,8,6,false,null,121,0,0,0
123,10,5,4,false,null,122,0,0,0
124,37,52,63,false,null,123,0,0,0
125,7,9,2,false,null,124,0,0,0
126,168,92,79,false,null,125,0,0,0
127,40,35,37,false,null,126,0,0,0
128,33,5,55,false,null,127,0,0,0
129,2,9,5,false,null,128,0,0,0
130,10,59,52,false,null,129,0,0,0
131,29,5,36,false,null,130,0,0,0
132,44,18,58,false,null,131,0,0,0
133,5,10,8,false,null,132,0,0,0
134,21,8,16,false,null,133,0,0,0
135,105,191,137,false,null,134,0,0,0
136,78,131,74,false,null,135,0,0,0
137,5,9,10,false,null,136,0,0,0
138,39,29,94,false,null,137,0,0,0
139,31,43,99,false,null,138,0,0,0
140,6,3,7,false,null,139,0,0,0
141,4,8,10,false,null,140,0,0,0
142,26,19,59,false,null,141,0,0,0
143,67,22,7,false,null,142,0,0,0
144,37,30,15,false,null,143,0,0,0
145,207,199,195,false,null,144,0,0,0
146,7,10,7,false,null,145,0,0,0
147,7,5,10,false,null,146,0,0,0
148,134,200,81,false,null,147,0,0,0
149,108,247,206,false,null,148,0,0,0
150,54,29,54,false,null,149,0,0,0
151,7,17,16,false,null,150,0,0,0
152,99,116,185,false,null,151,0,0,0
153,35,23,59,false,null,152,0,0,0
154,66,17,31,false,null,153,0,0,0
155,11,61,56,false,null,154,0,0,0
156,7,3,8,false,null,155,0,0,0
157,52,5,65,false,null,156,0,0,0
158,102,107,99,false,null,157,0,0,0
159,5,5,6,false,null,158,0,0,0
160,17,35,43,false,null,159,0,0,0
161,8,6,9,false,null,160,0,0,0
162,51,69,7,false,null,161,0,0,0
163,16,28,45,false,null,162,0,0,0
164,128,107,83,false,null,163,0,0,0
165,8,42,26,false,null,164,0,0,0
166,8,6,10,false,null,165,0,0,0
167,249,83,149,false,null,166,0,0,0
168,61,29,45,false,null,167,0,0,0
169,52,55,57,false,null,168,0,0,0
170,33,6,27,false,null,169,0,0,0
171,81,153,82,false,null,170,0,0,0
172,9,5,9,false,null,171,0,0,0
173,21,27,47,false,null,172,0,0,0
174,19,10,53,false,null,173,0,0,0
175,26,56,68,false,null,174,0,0,0
176,14,19,35,false,null,175,0,0,0
177,30,11,8,false,null,176,0,0,0
178,7,59,47,false,null,177,0,0,0
179,30,26,13,false,null,178,0,0,0
180,36,67,19,false,null,179,0,0,0
181,87,73,170,false,null,180,0,0,0
182,10,31,14,false,null,181,0,0,0
183,223,223,100,false,null,182,0,0,0
184,2,10,2,false,null,183,0,0,0
185,58,33,5,false,null,184,0,0,0
186,198,207,135,false,null,185,0,0,0
187,38,58,15,false,null,186,0,0,0
188,19,8,68,false,null,187,0,0,0
189,238,211,95,false,null,188,0,0,0
190,9,9,6,false,null,189,0,0,0
191,7,35,21,false,null,190,0,0,0
192,145,218,175,false,null,191,0,0,0
193,22,16,36,false,null,192,0,0,0
194,5,8,7,false,null,193,0,0,0
195,4,7,10,false,null,194,0,0,0
196,9,8,10,false,null,195,0,0,0
197,5,42,57,false,null,196,0,0,0
198,3,5,3,false,null,197,0,0,0
199,2,10,2,false,null,198,0,0,0
200,3,5,2,false,null,199,0,0,0
201,5,9,2,false,null,200,0,0,0
202,24,30,33,false,null,201,0,0,0
203,29,35,29,false,null,202,0,0,0
204,9,27,80,false,null,203,0,0,0
205,197,72,168,false,null,204,0,0,0
206,8,4,6,false,null,205,0,0,0
207,22,7,81,false,null,206,0,0,0
208,30,6,9,false,null,207,0,0,0
209,17,10,6,false,null,208,0,0,0
210,16,35,19,false,null,209,0,0,0
211,2,10,7,false,null,210,0,0,0
212,43,14,66,false,null,211,0,0,0
213,138,115,203,false,null,212,0,0,0
214,138,184,130,false,null,213,0,0,0
215,46,39,20,false,null,214,0,0,0
216,9,9,4,false,null,215,0,0,0
217,70,27,7,false,null,216,0,0,0
218,26,28,22,false,null,217,0,0,0
219,221,169,144,false,null,218,0,0,0
220,8,8,9,false,null,219,0,0,0
221,9,68,41,false,null,220,0,0,0
222,50,26,66,false,null,221,0,0,0
223,10,70,62,false,null,222,0,0,0
224,19,36,33,false,null,223,0,0,0
225,10,2,7,false,null,224,0,0,0
226,112,121,218,false,null,225,0,0,0
227,93,233,102,false,null,226,0,0,0
228,236,88,109,false,null,227,0,0,0
229,8,9,10,false,null,228,0,0,0
230,40,40,43,false,null,229,0,0,0
231,32,19,25,false,null,230,0,0,0
232,41,31,8,false,null,231,0,0,0
233,23,55,64,false,null,232,0,0,0
234,11,41,95,false,null,233,0,0,0
235,2,6,6,false,null,234,0,0,0
236,8,8,3,false,null,235,0,0,0
237,114,212,128,false,null,236,0,0,0
238,16,40,44,false,null,237,0,0,0
239,6,7,7,false,null,238,0,0,0
240,2,5,6,false,null,239,0,0,0
241,93,179,221,false,null,240,0,0,0
242,11,35,69,false,null,241,0,0,0
243,14,25,53,false,null,242,0,0,0
244,29,24,31,false,null,243,0,0,0
245,10,4,7,false,null,244,0,0,0
246,41,28,96,false,null,245,0,0,0
247,45,59,68,false,null,246,0,0,0
248,32,41,79,false,null,247,0,0,0
249,10,10,7,false,null,248,0,0,0
250,10,9,8,false,null,249,0,0,0
251,25,50,50,false,null,250,0,0,0
252,179,155,143,false,null,251,0,0,0
253,11,25,16,false,null,252,0,0,0
254,52,41,53,false,null,253,0,0,0
255,216,70,142,false,null,254,0,0,0
256,5,5,53,false,null,255,0,0,0
257,4,8,8,false,null,256,0,0,0
258,10,4,7,false,null,257,0,0,0
259,2,4,2,false,null,258,0,0,0
260,9,3,3,false,null,259,0,0,0
261,25,21,57,false,null,260,0,0,0
262,8,4,8,false,null,261,0,0,0
263,27,22,69,false,null,262,0,0,0
264,231,225,97,false,null,263,0,0,0
265,33,32,84,false,null,264,0,0,0
266,216,217,246,false,null,265,0,0,0
267,99,180,230,false,null,266,0,0,0
268,32,58,18,false,null,267,0,0,0
269,85,180,198,false,null,268,0,0,0
270,250,234,135,false,null,269,0,0,0
271,222,226,150,false,null,270,0,0,0
272,30,14,80,false,null,271,0,0,0
273,123,117,145,false,null,272,0,0,0
274,44,23,50,false,null,273,0,0,0
275,70,139,161,false,null,274,0,0,0
276,4,8,3,false,null,275,0,0,0
277,40,69,66,false,null,276,0,0,0
278,147,118,232,false,null,277,0,0,0
279,195,71,146,false,null,278,0,0,0
280,44,69,41,false,null,279,0,0,0
281,144,217,121,false,null,280,0,0,0
282,132,93,154,false,null,281,0,0,0
283,28,34,68,false,null,282,0,0,0
284,7,5,5,false,null,283,0,0,0
285,57,46,60,false,null,284,0,0,0
286,53,11,6,false,null,285,0,0,0
287,4,4,8,false,null,286,0,0,0
288,8,6,6,false,null,287,0,0,0
289,83,184,161,false,null,288,0,0,0
290,9,6,2,false,null,289,0,0,0
291,10,5,5,false,null,290,0,0,0
292,216,164,216,false,null,291,0,0,0
293,30,30,71,false,null,292,0,0,0
294,218,214,133,false,null,293,0,0,0
295,103,82,157,false,null,294,0,0,0
296,4,7,3,false,null,295,0,0,0
297,10,4,10,false,null,296,0,0,0
298,108,125,237,false,null,297,0,0,0
299,12,38,14,false,null,298,0,0,0
300,44,25,53,false,null,299,0,0,0
301,170,81,200,false,null,300,0,0,0
302,66,10,32,false,null,301,0,0,0
303,29,18,55,false,null,302,0,0,0
304,153,182,230,false,null,303,0,0,0
305,10,7,7,false,null,304,0,0,0
306,6,7,4,false,null,305,0,0,0
307,206,80,205,false,null,306,0,0,0
308,26,18,43,false,null,307,0,0,0
309,126,162,67,false,null,308,0,0,0
310,13,68,61,false,null,309,0,0,0
311,6,3,5,false,null,310,0,0,0
312,7,12,54,false,null,311,0,0,0
313,44,20,63,false,null,312,0,0,0
314,36,17,15,false,null,313,0,0,0
315,9,5,8,false,null,314,0,0,0
316,142,189,154,false,null,315,0,0,0
317,34,35,99,false,null,316,0,0,0
318,41,31,25,false,null,317,0,0,0
319,46,67,55,false,null,318,0,0,0
320,86,228,101,false,null,319,0,0,0
321,33,35,30,false,null,320,0,0,0
322,8,4,3,false,null,321,0,0,0
323,5,4,5,false,null,322,0,0,0
324,7,9,2,false,null,323,0,0,0
325,2,2,7,false,null,324,0,0,0
326,224,209,192,false,null,325,0,0,0
327,126,174,138,false,null,326,0,0,0
328,5,47,19,false,null,327,0,0,0
329,10,5,2,false,null,328,0,0,0
330,218,159,108,false,null,329,0,0,0
331,13,36,32,false,null,330,0,0,0
332,18,31,64,false,null,331,0,0,0
333,37,18,19,false,null,332,0,0,0
334,31,44,32,false,null,333,0,0,0
335,49,28,6,false,null,334,0,0,0
336,6,3,7,false,null,335,0,0,0
337,15,37,49,false,null,336,0,0,0
338,169,110,187,false,null,337,0,0,0
339,244,125,180,false,null,338,0,0,0
340,41,59,10,false,null,339,0,0,0
341,19,18,32,false,null,340,0,0,0
342,66,43,66,false,null,341,0,0,0
343,200,250,164,false,null,342,0,0,0
344,63,34,20,false,null,343,0,0,0
345,3,3,8,false,null,344,0,0,0
346,41,7,95,false,null,345,0,0,0
347,28,22,58,false,null,346,0,0,0
348,44,5,71,false,null,347,0,0,0
349,97,190,141,false,null,348,0,0,0
350,15,35,52,false,null,349,0,0,0
351,17,18,97,false,null,350,0,0,0
352,9,30,80,false,null,351,0,0,0
353,35,34,89,false,null,352,0,0,0
354,50,26,64,false,null,353,0,0,0
355,27,41,29,false,null,354,0,0,0
356,17,40,30,false,null,355,0,0,0
357,7,3,10,false,null,356,0,0,0
358,14,12,22,false,null,357,0,0,0
359,2,9,2,false,null,358,0,0,0
360,69,57,20,false,null,359,0,0,0
361,23,14,57,false,null,360,0,0,0
362,13,19,37,false,null,361,0,0,0
363,29,33,42,false,null,362,0,0,0
364,24,57,10,false,null,363,0,0,0
365,9,6,5,false,null,364,0,0,0
366,45,9,80,false,null,365,0,0,0
367,163,145,79,false,null,366,0,0,0
