PresentId,Dimension1,Dimension2,Dimension3
1,2,5,3
2,243,207,73
3,236,78,160
4,10,8,3
5,9,9,10
6,170,120,171
7,218,116,91
8,142,206,222
9,37,8,28
10,3,2,7
11,42,41,22
12,11,42,31
13,28,20,83
14,29,13,76
15,98,200,96
16,26,38,4
17,9,34,36
18,3,4,4
19,78,84,240
20,114,219,233
21,35,28,22
22,185,211,195
23,7,3,2
24,37,9,31
25,144,104,101
26,56,31,32
27,142,209,188
28,45,18,93
29,8,9,2
30,13,10,57
31,22,54,49
32,72,172,190
33,17,28,36
34,121,90,87
35,5,39,33
36,32,34,23
37,14,33,16
38,18,42,96
39,8,55,32
40,10,5,7
41,6,6,9
42,203,201,69
43,20,53,11
44,32,18,30
45,120,211,234
46,246,97,206
47,5,2,3
48,124,151,92
49,43,48,69
50,2,2,7
51,231,173,103
52,12,26,88
53,8,10,7
54,10,8,8
55,57,64,33
56,37,21,20
57,15,24,33
58,36,26,12
59,44,24,64
60,8,36,30
61,43,26,83
62,23,23,70
63,9,4,10
64,13,16,36
65,29,59,58
66,133,125,214
67,2,9,5
68,117,197,231
69,39,10,74
70,31,11,37
71,41,18,80
72,6,3,6
73,41,31,8
74,61,40,32
75,41,63,39
76,30,49,36
77,2,4,2
78,24,25,45
79,6,6,2
80,2,3,5
81,8,2,2
82,247,70,85
83,52,25,37
84,20,24,100
85,60,26,63
86,37,14,29
87,30,49,58
88,181,75,153
89,6,8,3
90,3,7,9
91,162,185,229
92,7,2,4
93,6,10,5
94,176,199,99
95,4,2,9
96,219,246,154
97,22,24,52
98,148,161,87
99,32,7,55
100,250,143,98
101,37,23,13
102,156,65,150
103,5,8,2
104,41,70,53
105,12,42,25
106,6,43,36
107,24,10,21
108,226,79,211
109,183,243,130
110,3,6,7
111,28,51,36
112,16,35,32
113,21,52,15
114,27,26,76
115,14,51,39
116,45,36,7
117,65,57,17
118,90,235,214
119,5,36,38
120,16,27,62
121,15,67,52
122,9,8,6
123,10,5,4
124,37,52,63
125,7,9,2
126,168,92,79
127,40,35,37
128,33,5,55
129,2,9,5
130,10,59,52
131,29,5,36
132,44,18,58
133,5,10,8
134,21,8,16
135,105,191,137
136,78,131,74
137,5,9,10
138,39,29,94
139,31,43,99
140,6,3,7
141,4,8,10
142,26,19,59
143,67,22,7
144,37,30,15
145,207,199,195
146,7,10,7
147,7,5,10
148,134,200,81
149,108,247,206
150,54,29,54
151,7,17,16
152,99,116,185
153,35,23,59
154,66,17,31
155,11,61,56
156,7,3,8
157,52,5,65
158,102,107,99
159,5,5,6
160,17,35,43
161,8,6,9
162,51,69,7
163,16,28,45
164,128,107,83
165,8,42,26
166,8,6,10
167,249,83,149
168,61,29,45
169,52,55,57
170,33,6,27
171,81,153,82
172,9,5,9
173,21,27,47
